taken_from,word_count_mean,word_count_max,word_count_min,rt_count_max,rt_count_mean,like_count_mean,like_count_max,hourly_tweet_mean,replyCount_mean,replyCount_max,unique_reply_count,hashtagCount_max,hashtagCount_mean,links_count_mean,photos_count_all_mean,photos_count_original_mean,videos_count_all_mean,videos_count_original_mean,mentionCount_mean,mentionCount_max
48579013,14.285714285714286,24,0,59.0,12.0,77.66666666666667,284.0,0.6336275175379046,3.761904761904762,13.0,9,1,0.8571428571428571,0.09523809523809523,0.9047619047619048,0.9047619047619048,0.047619047619047616,0.047619047619047616,0.19047619047619047,1
48623391,17.85,51,3,298.0,23.9,179.3,1785.0,0.0022345649752009843,11.5,101.0,10,2,0.21428571428571427,0.0,0.19047619047619047,0.05,0.023809523809523808,0.0,1.7,4
48661131,13.25,32,3,1074.0,261.05,727.65,3127.0,0.000645785459026644,133.8,867.0,19,1,0.043478260869565216,0.782608695652174,0.17391304347826086,0.2,0.0,0.0,0.0,0
48672487,10.222222222222221,34,2,605.0,252.77777777777777,3041.0,8235.0,0.06553554066120879,160.22222222222223,410.0,9,1,0.1282051282051282,0.41025641025641024,0.28205128205128205,0.2222222222222222,0.02564102564102564,0.0,0.2222222222222222,1
48737907,34.18181818181818,53,3,27.0,4.0,21.727272727272727,140.0,0.0014127628736381717,3.1818181818181817,18.0,6,2,0.09090909090909091,0.30303030303030304,0.2727272727272727,0.7272727272727273,0.12121212121212122,0.18181818181818182,0.5454545454545454,1
48743811,8.210526315789474,45,0,130.0,8.631578947368421,108.6842105263158,1013.0,0.008487223192751912,6.2105263157894735,64.0,9,1,0.0625,0.03125,0.59375,0.7894736842105263,0.0625,0.05263157894736842,0.7368421052631579,3
48749099,12.8,21,2,1.0,0.05,0.6,4.0,0.03624266274843213,0.1,1.0,2,4,0.85,1.0,0.0,0.0,0.0,0.0,0.05,1
48814927,8.68421052631579,27,1,11.0,0.631578947368421,10.0,107.0,0.0022795936926240353,2.8947368421052633,27.0,4,1,0.10256410256410256,0.10256410256410256,0.15384615384615385,0.0,0.0,0.0,0.8947368421052632,1
48841325,15.285714285714286,31,3,518.0,126.0,718.4285714285714,2573.0,0.8282456455377986,65.28571428571429,261.0,7,2,0.12195121951219512,0.0,0.1951219512195122,0.0,0.1951219512195122,0.0,0.8571428571428571,2
48849410,22.05263157894737,48,2,127.0,19.736842105263158,163.26315789473685,1029.0,0.0022145145572208006,9.473684210526315,88.0,11,3,0.08333333333333333,0.4722222222222222,0.16666666666666666,0.05263157894736842,0.0,0.0,0.6842105263157895,2
